Index       V(IN)            V(OUT)      
0        0.00000000e+00    9.99942007e-01
1        1.00000000e-02    9.99925569e-01
2        2.00000000e-02    9.99903267e-01
3        3.00000000e-02    9.99873138e-01
4        4.00000000e-02    9.99832590e-01
5        5.00000000e-02    9.99778210e-01
6        6.00000000e-02    9.99705533e-01
7        7.00000000e-02    9.99608745e-01
8        8.00000000e-02    9.99480326e-01
9        9.00000000e-02    9.99310613e-01
10       1.00000000e-01    9.99087280e-01
11       1.10000000e-01    9.98794736e-01
12       1.20000000e-01    9.98413432e-01
13       1.30000000e-01    9.97919087e-01
14       1.40000000e-01    9.97281840e-01
15       1.50000000e-01    9.96465360e-01
16       1.60000000e-01    9.95425916e-01
17       1.70000000e-01    9.94111466e-01
18       1.80000000e-01    9.92460769e-01
19       1.90000000e-01    9.90402596e-01
20       2.00000000e-01    9.87855049e-01
21       2.10000000e-01    9.84725055e-01
22       2.20000000e-01    9.80908097e-01
23       2.30000000e-01    9.76288239e-01
24       2.40000000e-01    9.70738557e-01
25       2.50000000e-01    9.64122076e-01
26       2.60000000e-01    9.56293353e-01
27       2.70000000e-01    9.47100826e-01
28       2.80000000e-01    9.36390055e-01
29       2.90000000e-01    9.24007890e-01
30       3.00000000e-01    9.09807542e-01
31       3.10000000e-01    8.93654407e-01
32       3.20000000e-01    8.75432329e-01
33       3.30000000e-01    8.55049906e-01
34       3.40000000e-01    8.32446318e-01
35       3.50000000e-01    8.07600046e-01
36       3.60000000e-01    7.80539737e-01
37       3.70000000e-01    7.51324370e-01
38       3.80000000e-01    7.20051263e-01
39       3.90000000e-01    6.86854611e-01
40       4.00000000e-01    6.51901701e-01
41       4.10000000e-01    6.15388435e-01
42       4.20000000e-01    5.77534956e-01
43       4.30000000e-01    5.38582295e-01
44       4.40000000e-01    4.98791046e-01
45       4.50000000e-01    4.58443348e-01
46       4.60000000e-01    4.17850039e-01
47       4.70000000e-01    3.77366345e-01
48       4.80000000e-01    3.37422337e-01
49       4.90000000e-01    2.98580177e-01
50       5.00000000e-01    2.61636878e-01
51       5.10000000e-01    2.27775939e-01
52       5.20000000e-01    1.98590876e-01
53       5.30000000e-01    1.75382966e-01
54       5.40000000e-01    1.57956708e-01
55       5.50000000e-01    1.44914115e-01
56       5.60000000e-01    1.34867274e-01
57       5.70000000e-01    1.26865264e-01
58       5.80000000e-01    1.20308571e-01
59       5.90000000e-01    1.14814278e-01
60       6.00000000e-01    1.10128282e-01
61       6.10000000e-01    1.06075028e-01
62       6.20000000e-01    1.02528761e-01
63       6.30000000e-01    9.93965714e-02
64       6.40000000e-01    9.66080055e-02
65       6.50000000e-01    9.41084449e-02
66       6.60000000e-01    9.18547479e-02
67       6.70000000e-01    8.98122866e-02
68       6.80000000e-01    8.79528620e-02
69       6.90000000e-01    8.62532963e-02
70       7.00000000e-01    8.46942385e-02
71       7.10000000e-01    8.32594442e-02
72       7.20000000e-01    8.19351457e-02
73       7.30000000e-01    8.07095857e-02
74       7.40000000e-01    7.95726553e-02
75       7.50000000e-01    7.85156083e-02
76       7.60000000e-01    7.75308350e-02
77       7.70000000e-01    7.66116798e-02
78       7.80000000e-01    7.57522936e-02
79       7.90000000e-01    7.49475133e-02
80       8.00000000e-01    7.41927624e-02
81       8.10000000e-01    7.34839690e-02
82       8.20000000e-01    7.28174969e-02
83       8.30000000e-01    7.21900881e-02
84       8.40000000e-01    7.15988146e-02
85       8.50000000e-01    7.10410368e-02
86       8.60000000e-01    7.05143684e-02
87       8.70000000e-01    7.00166466e-02
88       8.80000000e-01    6.95459062e-02
89       8.90000000e-01    6.91003573e-02
90       9.00000000e-01    6.86783660e-02
91       9.10000000e-01    6.82784374e-02
92       9.20000000e-01    6.78992013e-02
93       9.30000000e-01    6.75393992e-02
94       9.40000000e-01    6.71978731e-02
95       9.50000000e-01    6.68735555e-02
96       9.60000000e-01    6.65654607e-02
97       9.70000000e-01    6.62726770e-02
98       9.80000000e-01    6.59943600e-02
99       9.90000000e-01    6.57297263e-02
100      1.00000000e+00    6.54780481e-02
End of Xyce(TM) Simulation
